theta,K,mean_extinction_time,log_mean_time,variance,extinction_rate,t_max_used
-0.5,10,20.05934072071943,2.998694916625787,401.40388902906426,0.99982,1e+20
-0.5,15,13.226735945171862,2.5822402315250566,174.4086773251027,0.99988,1.5e+20
-0.5,20,9.922628369439575,2.2948178427987127,99.1739841418983,0.99982,2.25e+20
-0.5,25,8.028645692449057,2.0830158577507225,65.50632408664382,0.99988,3.375e+20
-0.5,30,6.624683796857014,1.890802641956932,43.93850571634648,0.99984,5.0625e+20
-0.5,35,5.710995636911625,1.7423933757026802,32.915531131550814,0.99978,7.59375e+20
-1.0,10,19.49615267460029,2.970217147365298,373.9975481311532,0.96568,1e+20
-1.0,15,13.083661817976774,2.5713642623516346,171.87313839182423,0.96682,1.5e+20
-1.0,20,9.865210370269303,2.289014464160465,95.19743575962653,0.96468,2.25e+20
-1.0,25,8.044125708610151,2.0849420994126304,64.13586692058948,0.96502,3.375e+20
-1.0,30,6.662483713356268,1.8964923449645876,44.40388313361941,0.96548,5.0625e+20
-1.0,35,5.74720076247223,1.7487129123541498,33.53402402575241,0.96258,7.59375e+20
